instance,label,count
http://www.wikidata.org/entity/Q13442814,scholarly article,415772
http://www.wikidata.org/entity/Q212971,Request for Comments,9027
http://www.wikidata.org/entity/Q7318358,review article,5326
http://www.wikidata.org/entity/Q1143604,proceedings,3557
http://www.wikidata.org/entity/Q18918145,academic journal article,2274
http://www.wikidata.org/entity/Q871232,editorial,1757
http://www.wikidata.org/entity/Q1348305,erratum,794
http://www.wikidata.org/entity/Q23927052,conference paper,693
http://www.wikidata.org/entity/Q815382,meta-analysis,319
http://www.wikidata.org/entity/Q2782326,case report,183
http://www.wikidata.org/entity/Q1504425,systematic review,63
http://www.wikidata.org/entity/Q1322187,April Fools' Day Request for Comments,63
http://www.wikidata.org/entity/Q5633421,scientific journal,41
http://www.wikidata.org/entity/Q45182324,retracted paper,41
http://www.wikidata.org/entity/Q3331189,"version, edition, or translation",39
http://www.wikidata.org/entity/Q10885494,scientific conference paper,29
http://www.wikidata.org/entity/Q1980247,chapter,18
http://www.wikidata.org/entity/Q7725634,literary work,18
http://www.wikidata.org/entity/Q7316896,retraction notice,17
http://www.wikidata.org/entity/Q191067,article,12
http://www.wikidata.org/entity/Q571,book,10
http://www.wikidata.org/entity/Q95977810,Journal first Wikipedia-integrated dual publishing,10
http://www.wikidata.org/entity/Q92998777,opinion paper,9
http://www.wikidata.org/entity/Q637866,book review,7
http://www.wikidata.org/entity/Q591041,scientific publication,6
http://www.wikidata.org/entity/Q21481766,academic chapter,6
http://www.wikidata.org/entity/Q15706459,research article,5
http://www.wikidata.org/entity/Q101086122,conference welcome message,5
http://www.wikidata.org/entity/Q69488,MDMA,4
http://www.wikidata.org/entity/Q580922,preprint,4
http://www.wikidata.org/entity/Q13433827,encyclopedia article,4
http://www.wikidata.org/entity/Q47461344,written work,4
http://www.wikidata.org/entity/Q187685,doctoral thesis,3
http://www.wikidata.org/entity/Q651270,letter to the editor,3
http://www.wikidata.org/entity/Q732577,publication,3
http://www.wikidata.org/entity/Q10870555,report,3
http://www.wikidata.org/entity/Q58901591,comparative study,3
http://www.wikidata.org/entity/Q109229154,article with explicit CiTO annotation,3
http://www.wikidata.org/entity/Q5,human,2
http://www.wikidata.org/entity/Q309481,obituary,2
http://www.wikidata.org/entity/Q317623,technical standard,2
http://www.wikidata.org/entity/Q58632367,scholarly conference abstract,2
http://www.wikidata.org/entity/Q77231205,bioacoustic annotation dataset,2
http://www.wikidata.org/entity/Q11472,paper,1
http://www.wikidata.org/entity/Q128093,ebook,1
http://www.wikidata.org/entity/Q178651,interview,1
http://www.wikidata.org/entity/Q13136,reference work,1
http://www.wikidata.org/entity/Q187631,mathematical interpolation,1
http://www.wikidata.org/entity/Q193495,monograph,1
http://www.wikidata.org/entity/Q290378,internet standard,1
http://www.wikidata.org/entity/Q333291,abstract,1
http://www.wikidata.org/entity/Q30612,clinical trial,1
http://www.wikidata.org/entity/Q429785,poster,1
http://www.wikidata.org/entity/Q830588,field guide,1
http://www.wikidata.org/entity/Q1076968,digital media,1
http://www.wikidata.org/entity/Q1711593,edited volume,1
http://www.wikidata.org/entity/Q1338914,handbook,1
http://www.wikidata.org/entity/Q2020153,academic conference,1
http://www.wikidata.org/entity/Q2910675,unfinished creative work,1
http://www.wikidata.org/entity/Q4117139,biological database,1
http://www.wikidata.org/entity/Q6501319,business proposal,1
http://www.wikidata.org/entity/Q16324495,essay collection,1
http://www.wikidata.org/entity/Q16599388,Sistema Pubblico di Identità Digitale,1
http://www.wikidata.org/entity/Q30070590,magazine article,1
http://www.wikidata.org/entity/Q55915575,scholarly work,1
http://www.wikidata.org/entity/Q58901470,historical article,1
http://www.wikidata.org/entity/Q77231662,bioacoustic audio dataset,1
