bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
a_Internet_Architecture_Board,Q1667943,,homepages/181/2657,,,,,,,,,,,,,,,181/2657,,
j_corr_Osipov17,Q55839206,,journals/corr/Osipov17,,,,,1705.03973,,,,,,,,,,,,
p_ethos_Rao91,Q59572495,,,,,,,,,,,,,,uk.bl.ethos.293597,,,,,
p_ethos_Lai90,Q59573303,,,,,,,,,,,,,,uk.bl.ethos.334891,,,,,
p_ethos_Mayfield93,Q59573606,,,,,,,,,,,,,,uk.bl.ethos.358687,,,,,
p_ethos_Tan97,Q59575607,,,,,,,,,,,,,,uk.bl.ethos.364037,,,,,
p_ethos_Wendemuth94,Q59575680,,,,,,,,,,,,,,uk.bl.ethos.386749,,,,,
p_ethos_Lazic99,Q59577848,,,,,,,,,,,,,,uk.bl.ethos.365357,,,,,
p_ethos_Tresadern02,Q59582159,,,,,,,,,,,,,,uk.bl.ethos.436970,,,,,
p_ethos_Jones06a,Q59582693,,,,,,,,,,,,,,uk.bl.ethos.437365,,,,,
p_ethos_Schroff09,Q59584006,,,,,,,,,,,,,,uk.bl.ethos.504578,,,,,
p_ethos_Kadri09,Q59584184,,,,,,,,,,,,,,uk.bl.ethos.509966,,,,,
j_corr_ElserGKSMLSTHSG15,Q62427121,,journals/corr/ElserGKSMLSTHSG15,,,,,1510.04507,,,,,,,,,,,,
j_corr_Lhoneux15,Q85680602,,journals/corr/Lhoneux15,,,,,1505.04420,,,,,,,,,,,,
j_corr_abs_1907_09415,Q107024919,,journals/corr/abs-1907-09415,,,,,1907.09415,,,,,,,,,,,,
j_corr_abs_1804_00875,Q111688167,,journals/corr/abs-1804-00875,,,,,1804.00875,,,,,,,,,,,,
j_corr_abs_1804_00561,Q111688239,,journals/corr/abs-1804-00561,,,,,1804.00561,,,,,,,,,,,,
j_corr_Lao14,Q111688308,,journals/corr/Lao14,,,,,1409.7948,,,,,,,,,,,,
j_corr_AndrychowiczDMM13,Q111688332,,journals/corr/AndrychowiczDMM13,,,,,1312.3230,,,,,,,,,,,,
j_corr_abs_1809_03143,Q111688394,,journals/corr/abs-1809-03143,,,,,1809.03143,,,,,,,,,,,,
j_corr_abs_1810_02724,Q111688405,,journals/corr/abs-1810-02724,,,,,1810.02724,,,,,,,,,,,,
j_corr_abs_1804_09267,Q111688458,,journals/corr/abs-1804-09267,,,,,1804.09267,,,,,,,,,,,,
