bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
a_Internet_Architecture_Board,Q1667943,,,homepages/181/2657,1,,,,,,,
j_corr_Osipov17,Q55839206,,,journals/corr/Osipov17,1,,,,,,,
p_ethos_Rao91,Q59572495,,,,1,,,,,,,
p_ethos_Lai90,Q59573303,,,,1,,,,,,,
p_ethos_Mayfield93,Q59573606,,,,1,,,,,,,
p_ethos_Tan97,Q59575607,,,,1,,,,,,,
p_ethos_Wendemuth94,Q59575680,,,,1,,,,,,,
p_ethos_Lazic99,Q59577848,,,,1,,,,,,,
p_ethos_Tresadern02,Q59582159,,,,1,,,,,,,
p_ethos_Jones06a,Q59582693,,,,1,,,,,,,
p_ethos_Schroff09,Q59584006,,,,1,,,,,,,
p_ethos_Kadri09,Q59584184,,,,1,,,,,,,
j_corr_ElserGKSMLSTHSG15,Q62427121,,,journals/corr/ElserGKSMLSTHSG15,1,,,,,,,
j_corr_Lhoneux15,Q85680602,,,journals/corr/Lhoneux15,1,,,,1,,,
j_corr_abs_1907_09415,Q107024919,,,journals/corr/abs-1907-09415,1,,,1,,,,1
j_corr_abs_1804_00875,Q111688167,,,journals/corr/abs-1804-00875,1,,,,1,,,
j_corr_abs_1804_00561,Q111688239,,,journals/corr/abs-1804-00561,1,,,,,,,
j_corr_Lao14,Q111688308,,,journals/corr/Lao14,1,,,,1,,,
j_corr_AndrychowiczDMM13,Q111688332,,,journals/corr/AndrychowiczDMM13,1,,,,,,,
j_corr_abs_1809_03143,Q111688394,,,journals/corr/abs-1809-03143,1,,,,1,,,
j_corr_abs_1810_02724,Q111688405,,,journals/corr/abs-1810-02724,1,,,,1,,,
j_corr_abs_1804_09267,Q111688458,,,journals/corr/abs-1804-09267,1,,,,,,,
j_corr_abs_1804_11136,Q111688609,,,journals/corr/abs-1804-11136,1,,,,,,,
j_corr_abs_1809_00290,Q111688614,,,journals/corr/abs-1809-00290,1,,,,1,,,
j_corr_abs_1805_04460,Q111688784,,,journals/corr/abs-1805-04460,1,,,,,,,
j_corr_abs_1910_14614,Q111688800,,,journals/corr/abs-1910-14614,1,,,,,,,
j_corr_abs_1909_10926,Q111688866,,,journals/corr/abs-1909-10926,1,,,,1,,,
b_daglib_0067423,Q116644380,,,,1,,,,,,,
b_daglib_0008203,Q47460021,,,,1,,,,,,,
p_ethos_Littlewort91,Q59572454,,,,1,,,,,,,
p_ethos_Jackson92,Q59572687,,,,1,,,,,,,
p_ethos_Tombs92,Q59573261,,,,1,,,,,,,
p_ethos_McDonnell95,Q59574398,,,,1,,,,,,,
p_ethos_Ginbayashi95,Q59574535,,,,1,,,,,,,
p_ethos_Sujithan97,Q59575729,,,,1,,,,,,,
p_ethos_Calinescu98,Q59577116,,,,1,,,,,,,
p_ethos_Tiskin98,Q59577267,,,,1,,,,,,,
p_ethos_Zuliani01,Q59578280,,,,1,,,,,,,
p_ethos_Pitcher01,Q59578407,,,,1,,,,,,,
p_ethos_Lund02,Q59580462,,,,1,,,,,,,
p_ethos_Deutscher02,Q59580468,,,,1,,,,,,,
p_ethos_Mortimer03,Q59580687,,,,1,,,,,,,
p_ethos_Liakata04,Q59581426,,,,1,,,,,,,
p_ethos_Hansen07,Q59582869,,,,1,,,,,,,
p_ethos_Waldermann09,Q59583469,,,,1,,,,,,,
p_ethos_Surmacz07,Q59583735,,,,1,,,,,,,
p_ethos_Prasad09,Q59583975,,,,1,,,,,,,
p_ethos_McKee17,Q59624141,,,,1,,,,,,,
p_ethos_AlOmari17,Q59624175,,,,1,,,,,,,
j_corr_abs_2004_04733,Q95946302,,,journals/corr/abs-2004-04733,1,,,1,1,,,1
b_mk_PattersonH97,Q110814730,,,,1,,,,,,,
b_mk_PattersonH94,Q110814838,,,,1,,,,,,,
j_corr_CrainGLR17,Q111688270,,,journals/corr/CrainGLR17,1,,,,,,,
j_corr_Shomer14,Q111688302,,,journals/corr/Shomer14,1,,,,1,,,
j_corr_abs_1305_5956,Q111688331,,,journals/corr/abs-1305-5956,1,,,1,,,,1
j_corr_abs_1810_02937,Q111688407,,,journals/corr/abs-1810-02937,1,,,,1,,,
j_corr_abs_1804_08044,Q111688450,,,journals/corr/abs-1804-08044,1,,,,1,,,
j_corr_abs_1804_10013,Q111688457,,,journals/corr/abs-1804-10013,1,,,,,,,
j_corr_abs_1811_04169,Q111688520,,,journals/corr/abs-1811-04169,1,,,,1,,,
j_corr_abs_1712_04649,Q111688570,,,journals/corr/abs-1712-04649,1,,,,1,,,
j_corr_abs_1712_01767,Q111688605,,,journals/corr/abs-1712-01767,1,,,,,,,
j_corr_Rosenfeld14,Q111688606,,,journals/corr/Rosenfeld14,1,,,,1,,,
j_corr_abs_1804_10645,Q111688610,,,journals/corr/abs-1804-10645,1,,,,,,,
j_corr_abs_1809_00554,Q111688613,,,journals/corr/abs-1809-00554,1,,,,1,,,
j_corr_abs_1808_10810,Q111688616,,,journals/corr/abs-1808-10810,1,,,,,,,
j_corr_abs_1908_06971,Q111688625,,,journals/corr/abs-1908-06971,1,,,,,,,
j_corr_abs_1908_02287,Q111688630,,,journals/corr/abs-1908-02287,1,,,,1,,,
j_corr_abs_1810_08092,Q111688637,,,journals/corr/abs-1810-08092,1,,,,,,,
j_corr_abs_1810_11675,Q111688643,,,journals/corr/abs-1810-11675,1,,,,1,,,
j_corr_abs_1908_02591,Q111688770,,,journals/corr/abs-1908-02591,1,,,,1,,,
j_corr_abs_1805_02818,Q111688790,,,journals/corr/abs-1805-02818,1,,,,1,,,
j_corr_abs_1911_01778,Q111688802,,,journals/corr/abs-1911-01778,1,,,,,,,
j_corr_abs_1911_03226,Q111688828,,,journals/corr/abs-1911-03226,1,,,,1,,,
j_corr_abs_1810_11126,Q111689887,,,journals/corr/abs-1810-11126,1,,,,,,,
c_edbt_GreenJKLPS18,Q113301985,,,conf/edbt/GreenJKLPS18,1,,,,,,,
p_ethos_Brookes64,Q59547592,,,,1,,,,,,,
p_ethos_Burrows97,Q59575592,,,,1,,,,,,,
p_ethos_Creese01,Q59576766,,,,1,,,,,,,
p_ethos_Camus99,Q59577223,,,,1,,,,,,,
p_ethos_Rohrmair05,Q59582114,,,,1,,,,,,,
p_ethos_Miranda06,Q59582854,,,,1,,,,,,,
p_ethos_Marnette10,Q59585295,,,,1,,,,,,,
p_ethos_Fogelberg10,Q59585468,,,,1,,,,,,,
p_ethos_OShea11,Q59585652,,,,1,,,,,,,
p_ethos_Moilanen10,Q59585902,,,,1,,,,,,,
p_ethos_Guo12a,Q59585945,,,,1,,,,,,,
p_ethos_Callies14,Q59586101,,,,1,,,,,,,
p_ethos_Lawey15,Q59623353,,,,1,,,,,,,
p_ethos_Pattinson86,Q59642884,,,,1,,,,,,,
p_ethos_Helliwell87,Q59643060,,,,1,,,,,,,
c_icpr_PletschacherA10,Q109040714,,,conf/icpr/PletschacherA10,1,,,,,,,
j_corr_abs_1801_03998,Q111688159,,,journals/corr/abs-1801-03998,1,,,,,,,
j_corr_abs_1801_01421,Q111688237,,,journals/corr/abs-1801-01421,1,,,,1,,,
j_corr_abs_1801_01618,Q111688240,,,journals/corr/abs-1801-01618,1,,,,,,,
j_corr_DineshEGJRP14,Q111688320,,,journals/corr/DineshEGJRP14,1,,,,,,,
j_corr_abs_1812_02987,Q111688425,,,journals/corr/abs-1812-02987,1,,,,1,,,
j_corr_abs_1812_02776,Q111688427,,,journals/corr/abs-1812-02776,1,,,,,,,
j_corr_abs_1812_02154,Q111688446,,,journals/corr/abs-1812-02154,1,,,,,,,
j_corr_KaminskiG14,Q111688588,,,journals/corr/KaminskiG14,1,,,,,,,
j_corr_abs_1810_08420,Q111688617,,,journals/corr/abs-1810-08420,1,,,,1,,,
j_corr_abs_1908_00591,Q111688629,,,journals/corr/abs-1908-00591,1,,,,,,,
j_corr_abs_1908_11538,Q111688632,,,journals/corr/abs-1908-11538,1,,,,1,,,
j_corr_abs_1904_05234,Q111688688,,,journals/corr/abs-1904-05234,1,,,,1,,,
j_corr_abs_1805_04439,Q111688783,,,journals/corr/abs-1805-04439,1,,,,,,,
c_edbt_LbathBH21,Q113301476,,,conf/edbt/LbathBH21,1,,,,,,,
b_daglib_0082597,Q56740089,,,,1,,,,,,,
p_ethos_Ramos93,Q59573396,,,,1,,,,,,,
p_ethos_Ravelo98,Q59577088,,,,1,,,,,,,
p_ethos_Broadfoot01,Q59578317,,,,1,,,,,,,
p_ethos_Parson00,Q59578404,,,,1,,,,,,,
p_ethos_Morton05,Q59581977,,,,1,,,,,,,
p_ethos_Ball05,Q59581988,,,,1,,,,,,,
p_ethos_Stratford05,Q59582044,,,,1,,,,,,,
p_ethos_McKeever02,Q59582193,,,,1,,,,,,,
p_ethos_Fitzsimons07,Q59583406,,,,1,,,,,,,
p_ethos_Verbaere08,Q59583770,,,,1,,,,,,,
p_ethos_Dobnik09,Q59584349,,,,1,,,,,,,
p_ethos_Agarwal12,Q59585941,,,,1,,,,,,,
p_ethos_Ott12,Q59623085,,,,1,,,,,,,
p_ethos_Benatan16,Q59623840,,,,1,,,,,,,
p_ethos_Duckworth17,Q59624170,,,,1,,,,,,,
p_ethos_Ma09,Q59646603,,,,1,,,,,,,
p_ethos_Ibrahim16,Q59647022,,,,1,,,,,,,
s_xmedia_GodertLN12,Q101419449,,,,1,,,,,,,
j_corr_abs_1903_11899,Q111687979,,,journals/corr/abs-1903-11899,1,,,,,,,
