instance,label,count
http://www.wikidata.org/entity/Q5,human,61810
http://www.wikidata.org/entity/Q865588,committee,2
http://www.wikidata.org/entity/Q31855,research institute,1
http://www.wikidata.org/entity/Q48204,voluntary association,1
http://www.wikidata.org/entity/Q159979,twin,1
http://www.wikidata.org/entity/Q748019,scientific society,1
http://www.wikidata.org/entity/Q115322342,transhumanist,1
http://www.wikidata.org/entity/Q5509032,funding body,1
http://www.wikidata.org/entity/Q15632617,fictional human,1
http://www.wikidata.org/entity/Q1062083,billionaire,1
http://www.wikidata.org/entity/Q1752939,independent agency of the United States government,1
http://www.wikidata.org/entity/Q5428874,faculty member,1
http://www.wikidata.org/entity/Q16017119,collective pseudonym,1
http://www.wikidata.org/entity/Q20857065,United States federal agency,1
http://www.wikidata.org/entity/Q25339110,full professor,1
