instance,label,count
http://www.wikidata.org/entity/Q47258130,scientific conference series,4151
http://www.wikidata.org/entity/Q5633421,scientific journal,127
http://www.wikidata.org/entity/Q737498,academic journal,35
http://www.wikidata.org/entity/Q773668,open-access journal,28
http://www.wikidata.org/entity/Q47459256,academic workshop series,21
http://www.wikidata.org/entity/Q27785883,conference proceedings series,19
http://www.wikidata.org/entity/Q1002697,periodical,11
http://www.wikidata.org/entity/Q15900647,convention series,11
http://www.wikidata.org/entity/Q277759,book series,7
http://www.wikidata.org/entity/Q15275719,recurring event,7
http://www.wikidata.org/entity/Q73364223,society journal,7
http://www.wikidata.org/entity/Q625994,convention,5
http://www.wikidata.org/entity/Q5953270,hybrid open access journal,4
http://www.wikidata.org/entity/Q73365499,APC-free journal,4
http://www.wikidata.org/entity/Q43229,organization,3
http://www.wikidata.org/entity/Q2217301,serial,3
http://www.wikidata.org/entity/Q73897617,toll-access journal,3
http://www.wikidata.org/entity/Q386724,work,2
http://www.wikidata.org/entity/Q868557,music festival,2
http://www.wikidata.org/entity/Q11483816,annual event,2
http://www.wikidata.org/entity/Q5281480,disciplinary repository,2
http://www.wikidata.org/entity/Q45787211,preprint server,2
http://www.wikidata.org/entity/Q108440863,diamond open access journal,2
http://www.wikidata.org/entity/Q166118,archives,1
http://www.wikidata.org/entity/Q41298,magazine,1
http://www.wikidata.org/entity/Q685935,trade magazine,1
http://www.wikidata.org/entity/Q4228029,colloquium,1
http://www.wikidata.org/entity/Q5227240,data library,1
http://www.wikidata.org/entity/Q16024164,medical journal,1
http://www.wikidata.org/entity/Q17489659,group of works,1
http://www.wikidata.org/entity/Q1143604,proceedings,1
http://www.wikidata.org/entity/Q1235234,document repository,1
http://www.wikidata.org/entity/Q1656682,event,1
http://www.wikidata.org/entity/Q24534551,IEEE conference,1
http://www.wikidata.org/entity/Q51696175,biennial event,1
http://www.wikidata.org/entity/Q56220509,annual conference,1
http://www.wikidata.org/entity/Q73365221,APC-funded journal,1
http://www.wikidata.org/entity/Q99524688,workshop proceedings series,1
